scenario_id,schedule_case,V,AHT,OCC,SHK,Hg,T,week_pattern,p_weekdays,weekday_split,weekday_step,K,ratio_target,pos1,pos2,width1,width2,width_assignment_rule,peak_amplitude_rule,peak_amplitude_ratio,H_talk,H_prod,H_paid,HC_teorico,HC_teorico_ceil,H_prod_noSHK,HC_gross,HC_gross_ceil,ratio_real,lambda,ratio_capped,calls_sum,calls_min,calls_max,fte_min,fte_max,day_weights,n0,N_final,solver_status,objective,coverage,coverage_target,coverage_fail,sum_required,sum_under,sum_over,runtime_sec,workers
D_0099869b11_run1,run1,7500,300,0.700,0.200,42,0.500,W2,0.850,uniform,0.020,2,4,10.000,28.000,25.000,25.000,equal,different_1_lt_2,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,3.789,1.000,True,7500,4,37,0.952,8.810,"[0.17, 0.17, 0.17, 0.17, 0.17, 0.075, 0.075]",22.000,20.000,FEASIBLE,171.900,0.906,0.900,False,1785.714,167.095,61.381,420.016,1.000
D_0099869b11_run2,run2,7500,300,0.700,0.200,42,0.500,W2,0.850,uniform,0.020,2,4,10.000,28.000,25.000,25.000,equal,different_1_lt_2,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,3.789,1.000,True,7500,4,37,0.952,8.810,"[0.17, 0.17, 0.17, 0.17, 0.17, 0.075, 0.075]",22.000,20.000,FEASIBLE,161.550,0.910,0.900,False,1785.714,161.571,55.857,1200.016,1.000
D_00be64f53e_run1,run1,7500,300,0.700,0.200,42,0.500,W2,0.850,increasing-to-friday,0.020,2,2,10.000,28.000,25.000,25.000,equal,equal,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,2.000,0.559,False,7500,7,33,1.667,7.857,"[0.163, 0.167, 0.17, 0.173, 0.177, 0.075, 0.075]",22.000,20.000,FEASIBLE,178.430,0.900,0.900,False,1785.714,178.381,72.667,420.018,1.000
D_00be64f53e_run2,run2,7500,300,0.700,0.200,42,0.500,W2,0.850,increasing-to-friday,0.020,2,2,10.000,28.000,25.000,25.000,equal,equal,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,2.000,0.559,False,7500,7,33,1.667,7.857,"[0.163, 0.167, 0.17, 0.173, 0.177, 0.075, 0.075]",22.000,20.000,FEASIBLE,178.300,0.900,0.900,False,1785.714,178.286,72.571,1200.020,1.000
D_01064d9a02_run1,run1,7500,300,0.700,0.200,42,0.500,W2,0.950,decreasing-to-friday,0.020,2,2,10.000,28.000,16.000,16.000,equal,equal,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,2.000,0.446,False,7500,2,36,0.476,8.571,"[0.197, 0.194, 0.19, 0.186, 0.183, 0.025, 0.025]",22.000,22.000,OPTIMAL,170.770,0.904,0.900,False,1785.714,170.714,233.000,172.817,1.000
D_01064d9a02_run2,run2,7500,300,0.700,0.200,42,0.500,W2,0.950,decreasing-to-friday,0.020,2,2,10.000,28.000,16.000,16.000,equal,equal,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,2.000,0.446,False,7500,2,36,0.476,8.571,"[0.197, 0.194, 0.19, 0.186, 0.183, 0.025, 0.025]",22.000,21.000,FEASIBLE,120.760,0.932,0.900,False,1785.714,120.714,99.000,1200.026,1.000
D_018e23b9bf_run1,run1,7500,300,0.700,0.200,42,0.500,W2,0.850,decreasing-to-friday,0.020,2,6,22.000,40.000,13.000,17.000,extremes_low_high,different_1_gt_2,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,6.000,0.715,False,7500,3,48,0.714,11.429,"[0.177, 0.173, 0.17, 0.167, 0.163, 0.075, 0.075]",22.000,21.000,FEASIBLE,105.590,0.941,0.900,False,1785.714,105.714,84.000,420.012,1.000
D_018e23b9bf_run2,run2,7500,300,0.700,0.200,42,0.500,W2,0.850,decreasing-to-friday,0.020,2,6,22.000,40.000,13.000,17.000,extremes_low_high,different_1_gt_2,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,6.000,0.715,False,7500,3,48,0.714,11.429,"[0.177, 0.173, 0.17, 0.167, 0.163, 0.075, 0.075]",22.000,21.000,FEASIBLE,161.030,0.910,0.900,False,1785.714,161.048,139.333,1200.027,1.000
D_01abd8b6d1_run1,run1,7500,300,0.700,0.200,42,0.500,W1,,,,2,4,12.000,38.000,17.000,13.000,extremes_high_low,different_1_gt_2,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,4.000,0.880,False,7500,9,37,2.143,8.810,"[0.143, 0.143, 0.143, 0.143, 0.143, 0.143, 0.143]",22.000,21.000,FEASIBLE,151.660,0.915,0.900,False,1785.714,151.762,130.048,420.008,1.000
D_01abd8b6d1_run2,run2,7500,300,0.700,0.200,42,0.500,W1,,,,2,4,12.000,38.000,17.000,13.000,extremes_high_low,different_1_gt_2,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,4.000,0.880,False,7500,9,37,2.143,8.810,"[0.143, 0.143, 0.143, 0.143, 0.143, 0.143, 0.143]",22.000,20.000,FEASIBLE,173.120,0.903,0.900,False,1785.714,173.190,67.476,1200.018,1.000
D_023d023302_run1,run1,7500,300,0.700,0.200,42,0.500,W2,0.950,increasing-to-friday,0.020,2,6,22.000,40.000,13.000,17.000,extremes_low_high,equal,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,6.000,0.760,False,7500,1,45,0.238,10.714,"[0.183, 0.186, 0.19, 0.194, 0.197, 0.025, 0.025]",22.000,22.000,FEASIBLE,174.590,0.902,0.900,False,1785.714,174.524,236.810,420.009,1.000
D_023d023302_run2,run2,7500,300,0.700,0.200,42,0.500,W2,0.950,increasing-to-friday,0.020,2,6,22.000,40.000,13.000,17.000,extremes_low_high,equal,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,6.000,0.760,False,7500,1,45,0.238,10.714,"[0.183, 0.186, 0.19, 0.194, 0.197, 0.025, 0.025]",22.000,23.000,FEASIBLE,157.490,0.912,0.900,False,1785.714,157.476,303.762,1200.026,1.000
D_0298f3108f_run1,run1,7500,300,0.700,0.200,42,0.500,W2,0.950,increasing-to-friday,0.020,2,2,22.000,40.000,17.000,13.000,extremes_high_low,different_1_lt_2,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,2.000,0.337,False,7500,3,42,0.714,10.000,"[0.183, 0.186, 0.19, 0.194, 0.197, 0.025, 0.025]",22.000,23.000,OPTIMAL,139.760,0.922,0.900,False,1785.714,139.810,286.095,367.596,1.000
D_0298f3108f_run2,run2,7500,300,0.700,0.200,42,0.500,W2,0.950,increasing-to-friday,0.020,2,2,22.000,40.000,17.000,13.000,extremes_high_low,different_1_lt_2,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,2.000,0.337,False,7500,3,42,0.714,10.000,"[0.183, 0.186, 0.19, 0.194, 0.197, 0.025, 0.025]",22.000,22.000,FEASIBLE,172.590,0.903,0.900,False,1785.714,172.762,235.048,1200.032,1.000
D_02dbcd8458_run1,run1,7500,300,0.700,0.200,42,0.500,W2,0.950,increasing-to-friday,0.020,2,2,10.000,28.000,20.000,20.000,equal,equal,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,2.000,0.487,False,7500,2,37,0.476,8.810,"[0.183, 0.186, 0.19, 0.194, 0.197, 0.025, 0.025]",22.000,22.000,OPTIMAL,173.220,0.903,0.900,False,1785.714,173.238,235.524,30.765,1.000
D_02dbcd8458_run2,run2,7500,300,0.700,0.200,42,0.500,W2,0.950,increasing-to-friday,0.020,2,2,10.000,28.000,20.000,20.000,equal,equal,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,2.000,0.487,False,7500,2,37,0.476,8.810,"[0.183, 0.186, 0.19, 0.194, 0.197, 0.025, 0.025]",22.000,21.000,FEASIBLE,168.760,0.906,0.900,False,1785.714,168.619,146.905,1200.022,1.000
D_03191f237f_run1,run1,7500,300,0.700,0.200,42,0.500,W1,,,,2,6,12.000,38.000,13.000,13.000,equal,different_1_gt_2,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,5.498,1.000,True,7500,8,46,1.905,10.952,"[0.143, 0.143, 0.143, 0.143, 0.143, 0.143, 0.143]",22.000,20.000,FEASIBLE,159.390,0.911,0.900,False,1785.714,159.286,53.571,420.012,1.000
D_03191f237f_run2,run2,7500,300,0.700,0.200,42,0.500,W1,,,,2,6,12.000,38.000,13.000,13.000,equal,different_1_gt_2,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,5.498,1.000,True,7500,8,46,1.905,10.952,"[0.143, 0.143, 0.143, 0.143, 0.143, 0.143, 0.143]",22.000,21.000,FEASIBLE,137.030,0.923,0.900,False,1785.714,136.952,115.238,1200.032,1.000
D_033a1ef75d_run1,run1,7500,300,0.700,0.200,42,0.500,W2,0.850,uniform,0.020,2,2,22.000,40.000,13.000,13.000,equal,different_1_lt_2,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,2.000,0.317,False,7500,8,36,1.905,8.571,"[0.17, 0.17, 0.17, 0.17, 0.17, 0.075, 0.075]",22.000,20.000,FEASIBLE,177.380,0.901,0.900,False,1785.714,177.381,71.667,420.018,1.000
D_033a1ef75d_run2,run2,7500,300,0.700,0.200,42,0.500,W2,0.850,uniform,0.020,2,2,22.000,40.000,13.000,13.000,equal,different_1_lt_2,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,2.000,0.317,False,7500,8,36,1.905,8.571,"[0.17, 0.17, 0.17, 0.17, 0.17, 0.075, 0.075]",22.000,23.000,FEASIBLE,146.160,0.918,0.900,False,1785.714,146.143,292.429,1200.023,1.000
D_0354ace9df_run1,run1,7500,300,0.700,0.200,42,0.500,W2,0.850,increasing-to-friday,0.020,2,6,22.000,40.000,17.000,13.000,extremes_high_low,equal,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,6.000,0.802,False,7500,3,39,0.714,9.286,"[0.163, 0.167, 0.17, 0.173, 0.177, 0.075, 0.075]",22.000,20.000,FEASIBLE,157.670,0.912,0.900,False,1785.714,157.571,51.857,420.019,1.000
D_0354ace9df_run2,run2,7500,300,0.700,0.200,42,0.500,W2,0.850,increasing-to-friday,0.020,2,6,22.000,40.000,17.000,13.000,extremes_high_low,equal,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,6.000,0.802,False,7500,3,39,0.714,9.286,"[0.163, 0.167, 0.17, 0.173, 0.177, 0.075, 0.075]",22.000,23.000,FEASIBLE,153.630,0.914,0.900,False,1785.714,153.571,299.857,1200.022,1.000
D_036736932d_run1,run1,7500,300,0.700,0.200,42,0.500,W1,,,,1,6,14.000,,24.000,,,,,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,6.000,0.762,False,7500,6,36,1.429,8.571,"[0.143, 0.143, 0.143, 0.143, 0.143, 0.143, 0.143]",22.000,20.000,FEASIBLE,170.450,0.905,0.900,False,1785.714,169.476,63.762,420.018,1.000
D_036736932d_run2,run2,7500,300,0.700,0.200,42,0.500,W1,,,,1,6,14.000,,24.000,,,,,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,6.000,0.762,False,7500,6,36,1.429,8.571,"[0.143, 0.143, 0.143, 0.143, 0.143, 0.143, 0.143]",22.000,20.000,FEASIBLE,158.240,0.911,0.900,False,1785.714,158.190,52.476,1200.035,1.000
D_03f7a0274d_run1,run1,7500,300,0.700,0.200,42,0.500,W2,0.950,decreasing-to-friday,0.020,2,4,22.000,40.000,13.000,13.000,equal,different_1_lt_2,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,4.000,0.582,False,7500,2,52,0.476,12.381,"[0.197, 0.194, 0.19, 0.186, 0.183, 0.025, 0.025]",22.000,23.000,OPTIMAL,135.560,0.924,0.900,False,1785.714,135.429,281.714,127.573,1.000
D_03f7a0274d_run2,run2,7500,300,0.700,0.200,42,0.500,W2,0.950,decreasing-to-friday,0.020,2,4,22.000,40.000,13.000,13.000,equal,different_1_lt_2,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,4.000,0.582,False,7500,2,52,0.476,12.381,"[0.197, 0.194, 0.19, 0.186, 0.183, 0.025, 0.025]",22.000,24.000,FEASIBLE,92.040,0.949,0.900,False,1785.714,91.905,322.190,1200.110,1.000
D_0435cccd41_run1,run1,7500,300,0.700,0.200,42,0.500,W2,0.950,decreasing-to-friday,0.020,2,4,10.000,28.000,20.000,20.000,equal,equal,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,4.000,0.810,False,7500,1,41,0.238,9.762,"[0.197, 0.194, 0.19, 0.186, 0.183, 0.025, 0.025]",22.000,22.000,OPTIMAL,164.350,0.908,0.900,False,1785.714,164.238,226.524,151.258,1.000
D_0435cccd41_run2,run2,7500,300,0.700,0.200,42,0.500,W2,0.950,decreasing-to-friday,0.020,2,4,10.000,28.000,20.000,20.000,equal,equal,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,4.000,0.810,False,7500,1,41,0.238,9.762,"[0.197, 0.194, 0.19, 0.186, 0.183, 0.025, 0.025]",22.000,20.000,FEASIBLE,151.850,0.915,0.900,False,1785.714,151.762,46.048,1200.042,1.000
D_043dfe7bf7_run1,run1,7500,300,0.700,0.200,42,0.500,W2,0.950,decreasing-to-friday,0.020,2,4,10.000,28.000,25.000,16.000,extremes_high_low,different_1_gt_2,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,4.000,0.711,False,7500,1,41,0.238,9.762,"[0.197, 0.194, 0.19, 0.186, 0.183, 0.025, 0.025]",22.000,22.000,OPTIMAL,175.880,0.902,0.900,False,1785.714,175.762,238.048,336.938,1.000
D_043dfe7bf7_run2,run2,7500,300,0.700,0.200,42,0.500,W2,0.950,decreasing-to-friday,0.020,2,4,10.000,28.000,25.000,16.000,extremes_high_low,different_1_gt_2,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,4.000,0.711,False,7500,1,41,0.238,9.762,"[0.197, 0.194, 0.19, 0.186, 0.183, 0.025, 0.025]",22.000,21.000,FEASIBLE,121.120,0.932,0.900,False,1785.714,120.952,99.238,1200.020,1.000
D_0485f529ff_run1,run1,7500,300,0.700,0.200,42,0.500,W2,0.950,uniform,0.020,2,6,12.000,38.000,13.000,17.000,extremes_low_high,different_1_lt_2,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,6.000,0.858,False,7500,1,51,0.238,12.143,"[0.19, 0.19, 0.19, 0.19, 0.19, 0.025, 0.025]",22.000,22.000,OPTIMAL,174.290,0.902,0.900,False,1785.714,174.286,236.571,207.499,1.000
D_0485f529ff_run2,run2,7500,300,0.700,0.200,42,0.500,W2,0.950,uniform,0.020,2,6,12.000,38.000,13.000,17.000,extremes_low_high,different_1_lt_2,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,6.000,0.858,False,7500,1,51,0.238,12.143,"[0.19, 0.19, 0.19, 0.19, 0.19, 0.025, 0.025]",22.000,23.000,FEASIBLE,138.370,0.923,0.900,False,1785.714,138.381,284.667,1200.023,1.000
D_04af7ad0fb_run1,run1,7500,300,0.700,0.200,42,0.500,W2,0.850,increasing-to-friday,0.020,2,4,12.000,38.000,17.000,13.000,extremes_high_low,equal,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,2.734,1.000,True,7500,6,38,1.429,9.048,"[0.163, 0.167, 0.17, 0.173, 0.177, 0.075, 0.075]",22.000,20.000,FEASIBLE,150.890,0.917,0.900,False,1785.714,148.952,43.238,420.014,1.000
D_04af7ad0fb_run2,run2,7500,300,0.700,0.200,42,0.500,W2,0.850,increasing-to-friday,0.020,2,4,12.000,38.000,17.000,13.000,extremes_high_low,equal,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,2.734,1.000,True,7500,6,38,1.429,9.048,"[0.163, 0.167, 0.17, 0.173, 0.177, 0.075, 0.075]",22.000,21.000,FEASIBLE,156.250,0.916,0.900,False,1785.714,150.762,129.048,1200.021,1.000
D_04c28ec2a9_run1,run1,7500,300,0.700,0.200,42,0.500,W2,0.850,uniform,0.020,2,2,12.000,38.000,17.000,13.000,extremes_high_low,different_1_gt_2,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,2.000,0.481,False,7500,8,36,1.905,8.571,"[0.17, 0.17, 0.17, 0.17, 0.17, 0.075, 0.075]",22.000,20.000,FEASIBLE,166.250,0.907,0.900,False,1785.714,166.143,60.429,420.016,1.000
D_04c28ec2a9_run2,run2,7500,300,0.700,0.200,42,0.500,W2,0.850,uniform,0.020,2,2,12.000,38.000,17.000,13.000,extremes_high_low,different_1_gt_2,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,2.000,0.481,False,7500,8,36,1.905,8.571,"[0.17, 0.17, 0.17, 0.17, 0.17, 0.075, 0.075]",22.000,21.000,FEASIBLE,161.570,0.910,0.900,False,1785.714,161.571,139.857,1200.030,1.000
D_04db856dc8_run1,run1,7500,300,0.700,0.200,42,0.500,W2,0.850,uniform,0.020,1,4,14.000,,24.000,,,,,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,4.000,0.646,False,7500,4,40,0.952,9.524,"[0.17, 0.17, 0.17, 0.17, 0.17, 0.075, 0.075]",22.000,20.000,FEASIBLE,172.760,0.904,0.900,False,1785.714,171.524,65.810,420.015,1.000
D_04db856dc8_run2,run2,7500,300,0.700,0.200,42,0.500,W2,0.850,uniform,0.020,1,4,14.000,,24.000,,,,,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,4.000,0.646,False,7500,4,40,0.952,9.524,"[0.17, 0.17, 0.17, 0.17, 0.17, 0.075, 0.075]",22.000,20.000,FEASIBLE,174.120,0.903,0.900,False,1785.714,173.714,68.000,1200.024,1.000
D_051c45730f_run1,run1,7500,300,0.700,0.200,42,0.500,W2,0.850,uniform,0.020,1,4,25.000,,24.000,,,,,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,4.000,0.767,False,7500,4,40,0.952,9.524,"[0.17, 0.17, 0.17, 0.17, 0.17, 0.075, 0.075]",22.000,20.000,FEASIBLE,157.460,0.914,0.900,False,1785.714,153.333,47.619,420.013,1.000
D_051c45730f_run2,run2,7500,300,0.700,0.200,42,0.500,W2,0.850,uniform,0.020,1,4,25.000,,24.000,,,,,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,4.000,0.767,False,7500,4,40,0.952,9.524,"[0.17, 0.17, 0.17, 0.17, 0.17, 0.075, 0.075]",22.000,21.000,FEASIBLE,124.990,0.931,0.900,False,1785.714,123.190,101.476,1200.019,1.000
D_05207fb994_run1,run1,7500,300,0.700,0.200,42,0.500,W2,0.950,increasing-to-friday,0.020,2,2,22.000,40.000,13.000,13.000,equal,equal,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,2.000,0.385,False,7500,2,38,0.476,9.048,"[0.183, 0.186, 0.19, 0.194, 0.197, 0.025, 0.025]",22.000,22.000,OPTIMAL,178.110,0.900,0.900,False,1785.714,178.000,240.286,118.590,1.000
D_05207fb994_run2,run2,7500,300,0.700,0.200,42,0.500,W2,0.950,increasing-to-friday,0.020,2,2,22.000,40.000,13.000,13.000,equal,equal,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,2.000,0.385,False,7500,2,38,0.476,9.048,"[0.183, 0.186, 0.19, 0.194, 0.197, 0.025, 0.025]",22.000,22.000,FEASIBLE,174.210,0.902,0.900,False,1785.714,174.190,236.476,1200.026,1.000
D_05bf23f4f8_run1,run1,7500,300,0.700,0.200,42,0.500,W2,0.850,uniform,0.020,2,6,12.000,38.000,13.000,17.000,extremes_low_high,equal,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,5.546,1.000,True,7500,3,38,0.714,9.048,"[0.17, 0.17, 0.17, 0.17, 0.17, 0.075, 0.075]",22.000,20.000,FEASIBLE,147.410,0.917,0.900,False,1785.714,147.476,41.762,420.011,1.000
D_05bf23f4f8_run2,run2,7500,300,0.700,0.200,42,0.500,W2,0.850,uniform,0.020,2,6,12.000,38.000,13.000,17.000,extremes_low_high,equal,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,5.546,1.000,True,7500,3,38,0.714,9.048,"[0.17, 0.17, 0.17, 0.17, 0.17, 0.075, 0.075]",22.000,22.000,FEASIBLE,145.040,0.919,0.900,False,1785.714,145.048,207.333,1200.024,1.000
D_05fef259ee_run1,run1,7500,300,0.700,0.200,42,0.500,W2,0.950,decreasing-to-friday,0.020,2,6,12.000,38.000,13.000,17.000,extremes_low_high,different_1_lt_2,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,6.000,0.858,False,7500,1,52,0.238,12.381,"[0.197, 0.194, 0.19, 0.186, 0.183, 0.025, 0.025]",22.000,22.000,FEASIBLE,175.230,0.902,0.900,False,1785.714,175.238,237.524,420.014,1.000
