scenario_id,base_id,stage,attempt,status,duration_sec,error_message,timestamp
D_023d023302,D_023d023302,demand,1,OK,0.162,,2026-03-06T18:43:09
D_03f7a0274d,D_03f7a0274d,demand,1,OK,0.176,,2026-03-06T18:43:09
D_018e23b9bf,D_018e23b9bf,demand,1,OK,0.183,,2026-03-06T18:43:09
D_02dbcd8458,D_02dbcd8458,demand,1,OK,0.182,,2026-03-06T18:43:09
D_0099869b11,D_0099869b11,demand,1,OK,0.185,,2026-03-06T18:43:09
D_01064d9a02,D_01064d9a02,demand,1,OK,0.183,,2026-03-06T18:43:09
D_01abd8b6d1,D_01abd8b6d1,demand,1,OK,0.184,,2026-03-06T18:43:09
D_03191f237f,D_03191f237f,demand,1,OK,0.185,,2026-03-06T18:43:09
D_0298f3108f,D_0298f3108f,demand,1,OK,0.19,,2026-03-06T18:43:09
D_036736932d,D_036736932d,demand,1,OK,0.19,,2026-03-06T18:43:09
D_00be64f53e,D_00be64f53e,demand,1,OK,0.258,,2026-03-06T18:43:09
D_033a1ef75d,D_033a1ef75d,demand,1,OK,0.265,,2026-03-06T18:43:09
D_0435cccd41,D_0435cccd41,demand,1,OK,0.273,,2026-03-06T18:43:10
D_0354ace9df,D_0354ace9df,demand,1,OK,0.282,,2026-03-06T18:43:10
D_043dfe7bf7,D_043dfe7bf7,demand,1,OK,0.135,,2026-03-06T18:43:10
D_0485f529ff,D_0485f529ff,demand,1,OK,0.129,,2026-03-06T18:43:10
D_04af7ad0fb,D_04af7ad0fb,demand,1,OK,0.132,,2026-03-06T18:43:10
D_05fef259ee,D_05fef259ee,demand,1,OK,0.126,,2026-03-06T18:43:10
D_04db856dc8,D_04db856dc8,demand,1,OK,0.135,,2026-03-06T18:43:10
D_05207fb994,D_05207fb994,demand,1,OK,0.134,,2026-03-06T18:43:10
D_051c45730f,D_051c45730f,demand,1,OK,0.136,,2026-03-06T18:43:10
D_04c28ec2a9,D_04c28ec2a9,demand,1,OK,0.138,,2026-03-06T18:43:10
D_062f4d405f,D_062f4d405f,demand,1,OK,0.138,,2026-03-06T18:43:10
D_05bf23f4f8,D_05bf23f4f8,demand,1,OK,0.166,,2026-03-06T18:43:10
D_0636480b03,D_0636480b03,demand,1,OK,0.15,,2026-03-06T18:43:10
D_07acc429d0,D_07acc429d0,demand,1,OK,0.135,,2026-03-06T18:43:10
D_0697fea2d7,D_0697fea2d7,demand,1,OK,0.158,,2026-03-06T18:43:10
D_07f886fe3b,D_07f886fe3b,demand,1,OK,0.129,,2026-03-06T18:43:10
D_086aaf0aa5,D_086aaf0aa5,demand,1,OK,0.132,,2026-03-06T18:43:10
D_08766bbd4b,D_08766bbd4b,demand,1,OK,0.132,,2026-03-06T18:43:10
D_09049d7832,D_09049d7832,demand,1,OK,0.133,,2026-03-06T18:43:10
D_09a24721dd,D_09a24721dd,demand,1,OK,0.132,,2026-03-06T18:43:10
D_0838670b42,D_0838670b42,demand,1,OK,0.151,,2026-03-06T18:43:10
D_064cca168d,D_064cca168d,demand,1,OK,0.2,,2026-03-06T18:43:10
D_078c91cecc,D_078c91cecc,demand,1,OK,0.19,,2026-03-06T18:43:10
D_092ad24f92,D_092ad24f92,demand,1,OK,0.168,,2026-03-06T18:43:10
D_08f004279a,D_08f004279a,demand,1,OK,0.181,,2026-03-06T18:43:10
D_0a2d2f0f4c,D_0a2d2f0f4c,demand,1,OK,0.149,,2026-03-06T18:43:10
D_0a76dc150b,D_0a76dc150b,demand,1,OK,0.135,,2026-03-06T18:43:11
D_0ab2966bf1,D_0ab2966bf1,demand,1,OK,0.127,,2026-03-06T18:43:11
D_0ab937d5a8,D_0ab937d5a8,demand,1,OK,0.125,,2026-03-06T18:43:11
D_0b0f64f77c,D_0b0f64f77c,demand,1,OK,0.126,,2026-03-06T18:43:11
D_0b16c23ca5,D_0b16c23ca5,demand,1,OK,0.124,,2026-03-06T18:43:11
D_0c009959f9,D_0c009959f9,demand,1,OK,0.125,,2026-03-06T18:43:11
D_0c1731150a,D_0c1731150a,demand,1,OK,0.131,,2026-03-06T18:43:11
D_0bee3b95f7,D_0bee3b95f7,demand,1,OK,0.145,,2026-03-06T18:43:11
D_0cbdcfbe69,D_0cbdcfbe69,demand,1,OK,0.132,,2026-03-06T18:43:11
D_0cc0d87f06,D_0cc0d87f06,demand,1,OK,0.134,,2026-03-06T18:43:11
D_0b1ea3b617,D_0b1ea3b617,demand,1,OK,0.191,,2026-03-06T18:43:11
D_0c38dabe3e,D_0c38dabe3e,demand,1,OK,0.199,,2026-03-06T18:43:11
D_0cdae4fece,D_0cdae4fece,demand,1,OK,0.133,,2026-03-06T18:43:11
D_0ced13b8b3,D_0ced13b8b3,demand,1,OK,0.124,,2026-03-06T18:43:11
D_0d14df0258,D_0d14df0258,demand,1,OK,0.124,,2026-03-06T18:43:11
D_0c81c83e29,D_0c81c83e29,demand,1,OK,0.209,,2026-03-06T18:43:11
D_0cd0e6980e,D_0cd0e6980e,demand,1,OK,0.203,,2026-03-06T18:43:11
D_0de94d3f8f,D_0de94d3f8f,demand,1,OK,0.137,,2026-03-06T18:43:11
D_0e12dda376,D_0e12dda376,demand,1,OK,0.125,,2026-03-06T18:43:11
D_0dc6fbe029,D_0dc6fbe029,demand,1,OK,0.156,,2026-03-06T18:43:11
D_0e247f285e,D_0e247f285e,demand,1,OK,0.134,,2026-03-06T18:43:12
D_0e4a0f02b9,D_0e4a0f02b9,demand,1,OK,0.137,,2026-03-06T18:43:12
D_0e6aa869fb,D_0e6aa869fb,demand,1,OK,0.136,,2026-03-06T18:43:12
D_0ea6ad0038,D_0ea6ad0038,demand,1,OK,0.125,,2026-03-06T18:43:12
D_0f6d4f5aae,D_0f6d4f5aae,demand,1,OK,0.13,,2026-03-06T18:43:12
D_0f4cb75b7f,D_0f4cb75b7f,demand,1,OK,0.147,,2026-03-06T18:43:12
D_0f8d76c60d,D_0f8d76c60d,demand,1,OK,0.145,,2026-03-06T18:43:12
D_0eaab21604,D_0eaab21604,demand,1,OK,0.193,,2026-03-06T18:43:12
D_108d3edefa,D_108d3edefa,demand,1,OK,0.133,,2026-03-06T18:43:12
D_1125c448e4,D_1125c448e4,demand,1,OK,0.14,,2026-03-06T18:43:12
D_0f233364c7,D_0f233364c7,demand,1,OK,0.198,,2026-03-06T18:43:12
D_108a75de50,D_108a75de50,demand,1,OK,0.163,,2026-03-06T18:43:12
D_115386380b,D_115386380b,demand,1,OK,0.152,,2026-03-06T18:43:12
D_108a3975a9,D_108a3975a9,demand,1,OK,0.194,,2026-03-06T18:43:12
D_11d035b051,D_11d035b051,demand,1,OK,0.128,,2026-03-06T18:43:12
D_11c6376ba1,D_11c6376ba1,demand,1,OK,0.134,,2026-03-06T18:43:12
D_115ae4cd80,D_115ae4cd80,demand,1,OK,0.185,,2026-03-06T18:43:12
D_11a24c6219,D_11a24c6219,demand,1,OK,0.207,,2026-03-06T18:43:12
D_120b93a2c7,D_120b93a2c7,demand,1,OK,0.163,,2026-03-06T18:43:13
D_1327a9012b,D_1327a9012b,demand,1,OK,0.137,,2026-03-06T18:43:13
D_12fb0c4d3e,D_12fb0c4d3e,demand,1,OK,0.147,,2026-03-06T18:43:13
D_134b505e83,D_134b505e83,demand,1,OK,0.129,,2026-03-06T18:43:13
D_134ff65c61,D_134ff65c61,demand,1,OK,0.127,,2026-03-06T18:43:13
D_13a30ef21d,D_13a30ef21d,demand,1,OK,0.123,,2026-03-06T18:43:13
D_13a2b61b98,D_13a2b61b98,demand,1,OK,0.139,,2026-03-06T18:43:13
D_1425bcfb57,D_1425bcfb57,demand,1,OK,0.124,,2026-03-06T18:43:13
D_141dffda2a,D_141dffda2a,demand,1,OK,0.134,,2026-03-06T18:43:13
D_14a45a1aaf,D_14a45a1aaf,demand,1,OK,0.128,,2026-03-06T18:43:13
D_1264004042,D_1264004042,demand,1,OK,0.202,,2026-03-06T18:43:13
D_12e7ad42ab,D_12e7ad42ab,demand,1,OK,0.214,,2026-03-06T18:43:13
D_1527fee468,D_1527fee468,demand,1,OK,0.165,,2026-03-06T18:43:13
D_16024d3b7d,D_16024d3b7d,demand,1,OK,0.131,,2026-03-06T18:43:13
D_16a75d9c20,D_16a75d9c20,demand,1,OK,0.126,,2026-03-06T18:43:13
D_16a50723f1,D_16a50723f1,demand,1,OK,0.142,,2026-03-06T18:43:13
D_16eb729ea3,D_16eb729ea3,demand,1,OK,0.137,,2026-03-06T18:43:14
D_1726a5ec0d,D_1726a5ec0d,demand,1,OK,0.125,,2026-03-06T18:43:14
D_174aa0574f,D_174aa0574f,demand,1,OK,0.129,,2026-03-06T18:43:14
D_1546398d82,D_1546398d82,demand,1,OK,0.198,,2026-03-06T18:43:14
D_17f206a8c9,D_17f206a8c9,demand,1,OK,0.129,,2026-03-06T18:43:14
D_17cffdb4a3,D_17cffdb4a3,demand,1,OK,0.139,,2026-03-06T18:43:14
D_1656dc6f63,D_1656dc6f63,demand,1,OK,0.189,,2026-03-06T18:43:14
D_171d6f2611,D_171d6f2611,demand,1,OK,0.181,,2026-03-06T18:43:14
D_184ad7014a,D_184ad7014a,demand,1,OK,0.121,,2026-03-06T18:43:14
D_17fea241c4,D_17fea241c4,demand,1,OK,0.167,,2026-03-06T18:43:14
D_17df053223,D_17df053223,demand,1,OK,0.193,,2026-03-06T18:43:14
D_18716083a4,D_18716083a4,demand,1,OK,0.13,,2026-03-06T18:43:14
D_189a6936d0,D_189a6936d0,demand,1,OK,0.126,,2026-03-06T18:43:14
D_191590eca4,D_191590eca4,demand,1,OK,0.126,,2026-03-06T18:43:14
D_1a13c872e2,D_1a13c872e2,demand,1,OK,0.124,,2026-03-06T18:43:15
D_18a908146b,D_18a908146b,demand,1,OK,0.135,,2026-03-06T18:43:15
D_1a40b56b21,D_1a40b56b21,demand,1,OK,0.135,,2026-03-06T18:43:15
D_1899a30d4f,D_1899a30d4f,demand,1,OK,0.178,,2026-03-06T18:43:15
D_1a1272e739,D_1a1272e739,demand,1,OK,0.173,,2026-03-06T18:43:15
D_1b057b302e,D_1b057b302e,demand,1,OK,0.129,,2026-03-06T18:43:15
D_1a5260b6b2,D_1a5260b6b2,demand,1,OK,0.181,,2026-03-06T18:43:15
D_1a80ab481b,D_1a80ab481b,demand,1,OK,0.17,,2026-03-06T18:43:15
D_1af6d24b0a,D_1af6d24b0a,demand,1,OK,0.163,,2026-03-06T18:43:15
D_1b7335e7bc,D_1b7335e7bc,demand,1,OK,0.157,,2026-03-06T18:43:15
D_1b2bd1b08f,D_1b2bd1b08f,demand,1,OK,0.167,,2026-03-06T18:43:15
D_1bfe6d7f45,D_1bfe6d7f45,demand,1,OK,0.152,,2026-03-06T18:43:15
D_1c3827bc90,D_1c3827bc90,demand,1,OK,0.132,,2026-03-06T18:43:15
D_1c18ab338c,D_1c18ab338c,demand,1,OK,0.152,,2026-03-06T18:43:15
D_1ca0d3c429,D_1ca0d3c429,demand,1,OK,0.126,,2026-03-06T18:43:16
D_1c96513a7c,D_1c96513a7c,demand,1,OK,0.155,,2026-03-06T18:43:16
D_1d1a84fd6f,D_1d1a84fd6f,demand,1,OK,0.14,,2026-03-06T18:43:16
D_1d221db804,D_1d221db804,demand,1,OK,0.125,,2026-03-06T18:43:16
D_1c7d64b253,D_1c7d64b253,demand,1,OK,0.195,,2026-03-06T18:43:16
D_1c57f24237,D_1c57f24237,demand,1,OK,0.199,,2026-03-06T18:43:16
D_1d9d25c1d9,D_1d9d25c1d9,demand,1,OK,0.135,,2026-03-06T18:43:16
D_1d97f405ba,D_1d97f405ba,demand,1,OK,0.138,,2026-03-06T18:43:16
D_1dfd4e94f4,D_1dfd4e94f4,demand,1,OK,0.122,,2026-03-06T18:43:16
D_1db08d875c,D_1db08d875c,demand,1,OK,0.14,,2026-03-06T18:43:16
D_1e1b4ce436,D_1e1b4ce436,demand,1,OK,0.123,,2026-03-06T18:43:16
D_1e14ec2981,D_1e14ec2981,demand,1,OK,0.13,,2026-03-06T18:43:16
D_1d7977f239,D_1d7977f239,demand,1,OK,0.204,,2026-03-06T18:43:17
D_1e8e82e6b7,D_1e8e82e6b7,demand,1,OK,0.162,,2026-03-06T18:43:17
D_1f47782e5e,D_1f47782e5e,demand,1,OK,0.134,,2026-03-06T18:43:17
D_1fa1ecef98,D_1fa1ecef98,demand,1,OK,0.127,,2026-03-06T18:43:17
