base_id,scenario_id,schedule_case,V,AHT,OCC,SHK,Hg,T,week_pattern,p_weekdays,weekday_split,weekday_step,K,ratio_target,pos1,pos2,width1,width2,width_assignment_rule,peak_amplitude_rule,peak_amplitude_ratio
D_0099869b11,D_0099869b11_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.85,uniform,0.02,2,4,10.0,28.0,25.0,25.0,equal,different_1_lt_2,2.0
D_0099869b11,D_0099869b11_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.85,uniform,0.02,2,4,10.0,28.0,25.0,25.0,equal,different_1_lt_2,2.0
D_00be64f53e,D_00be64f53e_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.85,increasing-to-friday,0.02,2,2,10.0,28.0,25.0,25.0,equal,equal,2.0
D_00be64f53e,D_00be64f53e_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.85,increasing-to-friday,0.02,2,2,10.0,28.0,25.0,25.0,equal,equal,2.0
D_01064d9a02,D_01064d9a02_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.95,decreasing-to-friday,0.02,2,2,10.0,28.0,16.0,16.0,equal,equal,2.0
D_01064d9a02,D_01064d9a02_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.95,decreasing-to-friday,0.02,2,2,10.0,28.0,16.0,16.0,equal,equal,2.0
D_018e23b9bf,D_018e23b9bf_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.85,decreasing-to-friday,0.02,2,6,22.0,40.0,13.0,17.0,extremes_low_high,different_1_gt_2,2.0
D_018e23b9bf,D_018e23b9bf_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.85,decreasing-to-friday,0.02,2,6,22.0,40.0,13.0,17.0,extremes_low_high,different_1_gt_2,2.0
D_01abd8b6d1,D_01abd8b6d1_run1,run1,7500,300,0.7,0.2,42,0.5,W1,,,,2,4,12.0,38.0,17.0,13.0,extremes_high_low,different_1_gt_2,2.0
D_01abd8b6d1,D_01abd8b6d1_run2,run2,7500,300,0.7,0.2,42,0.5,W1,,,,2,4,12.0,38.0,17.0,13.0,extremes_high_low,different_1_gt_2,2.0
D_023d023302,D_023d023302_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.95,increasing-to-friday,0.02,2,6,22.0,40.0,13.0,17.0,extremes_low_high,equal,2.0
D_023d023302,D_023d023302_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.95,increasing-to-friday,0.02,2,6,22.0,40.0,13.0,17.0,extremes_low_high,equal,2.0
D_0298f3108f,D_0298f3108f_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.95,increasing-to-friday,0.02,2,2,22.0,40.0,17.0,13.0,extremes_high_low,different_1_lt_2,2.0
D_0298f3108f,D_0298f3108f_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.95,increasing-to-friday,0.02,2,2,22.0,40.0,17.0,13.0,extremes_high_low,different_1_lt_2,2.0
D_02dbcd8458,D_02dbcd8458_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.95,increasing-to-friday,0.02,2,2,10.0,28.0,20.0,20.0,equal,equal,2.0
D_02dbcd8458,D_02dbcd8458_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.95,increasing-to-friday,0.02,2,2,10.0,28.0,20.0,20.0,equal,equal,2.0
D_03191f237f,D_03191f237f_run1,run1,7500,300,0.7,0.2,42,0.5,W1,,,,2,6,12.0,38.0,13.0,13.0,equal,different_1_gt_2,2.0
D_03191f237f,D_03191f237f_run2,run2,7500,300,0.7,0.2,42,0.5,W1,,,,2,6,12.0,38.0,13.0,13.0,equal,different_1_gt_2,2.0
D_033a1ef75d,D_033a1ef75d_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.85,uniform,0.02,2,2,22.0,40.0,13.0,13.0,equal,different_1_lt_2,2.0
D_033a1ef75d,D_033a1ef75d_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.85,uniform,0.02,2,2,22.0,40.0,13.0,13.0,equal,different_1_lt_2,2.0
D_0354ace9df,D_0354ace9df_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.85,increasing-to-friday,0.02,2,6,22.0,40.0,17.0,13.0,extremes_high_low,equal,2.0
D_0354ace9df,D_0354ace9df_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.85,increasing-to-friday,0.02,2,6,22.0,40.0,17.0,13.0,extremes_high_low,equal,2.0
D_036736932d,D_036736932d_run1,run1,7500,300,0.7,0.2,42,0.5,W1,,,,1,6,14.0,,24.0,,,,
D_036736932d,D_036736932d_run2,run2,7500,300,0.7,0.2,42,0.5,W1,,,,1,6,14.0,,24.0,,,,
D_03f7a0274d,D_03f7a0274d_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.95,decreasing-to-friday,0.02,2,4,22.0,40.0,13.0,13.0,equal,different_1_lt_2,2.0
D_03f7a0274d,D_03f7a0274d_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.95,decreasing-to-friday,0.02,2,4,22.0,40.0,13.0,13.0,equal,different_1_lt_2,2.0
D_0435cccd41,D_0435cccd41_run1,run1,7500,300,0.7,0.2,42,0.5,W2,0.95,decreasing-to-friday,0.02,2,4,10.0,28.0,20.0,20.0,equal,equal,2.0
D_0435cccd41,D_0435cccd41_run2,run2,7500,300,0.7,0.2,42,0.5,W2,0.95,decreasing-to-friday,0.02,2,4,10.0,28.0,20.0,20.0,equal,equal,2.0
