base_id,scenario_id,schedule_case,V,AHT,OCC,SHK,Hg,T,week_pattern,p_weekdays,weekday_split,weekday_step,K,ratio_target,pos1,pos2,width1,width2,width_assignment_rule,peak_amplitude_rule,peak_amplitude_ratio,solver,base_seed,seed_scenario,V_demand,AHT_demand,OCC_demand,SHK_demand,Hg_demand,T_demand,week_pattern_demand,p_weekdays_demand,weekday_split_demand,weekday_step_demand,K_demand,ratio_target_demand,pos1_demand,pos2_demand,width1_demand,width2_demand,width_assignment_rule_demand,peak_amplitude_rule_demand,peak_amplitude_ratio_demand,H_talk,H_prod,H_paid,HC_teorico,HC_teorico_ceil,H_prod_noSHK,HC_gross,HC_gross_ceil,ratio_real,lambda,ratio_capped,calls_sum,calls_min,calls_max,fte_min,fte_max,day_weights,base_seed_sched,seed_scenario_sched,workers,ortools_version,hexaly_version,n0,N_final,solver_status,objective,coverage,coverage_target,coverage_fail,sum_required,sum_under,sum_over,runtime_sec
D_0099869b11,D_0099869b11_run1,run1,7500,300,0.700,0.200,42,0.500,W2,0.850,uniform,0.020,2,4,10.000,28.000,25.000,25.000,equal,different_1_lt_2,2.000,cp_sat,12345,947182474,7500,300.000,0.700,0.200,42.000,0.500,W2,0.850,uniform,0.020,2,4.000,10.000,28.000,25.000,25.000,equal,different_1_lt_2,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,3.789,1.000,True,7500,4,37,0.952,8.810,"[0.17, 0.17, 0.17, 0.17, 0.17, 0.075, 0.075]",12345.000,947182474.000,1.000,9.15.6755,,22.000,20.000,FEASIBLE,171.900,0.906,0.900,False,1785.714,167.095,61.381,420.016
D_0099869b11,D_0099869b11_run1,run1,7500,300,0.700,0.200,42,0.500,W2,0.850,uniform,0.020,2,4,10.000,28.000,25.000,25.000,equal,different_1_lt_2,2.000,hexaly,12345,947182474,7500,300.000,0.700,0.200,42.000,0.500,W2,0.850,uniform,0.020,2,4.000,10.000,28.000,25.000,25.000,equal,different_1_lt_2,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,3.789,1.000,True,7500,4,37,0.952,8.810,"[0.17, 0.17, 0.17, 0.17, 0.17, 0.075, 0.075]",,,,,,,,,,,,,,,,
D_0099869b11,D_0099869b11_run2,run2,7500,300,0.700,0.200,42,0.500,W2,0.850,uniform,0.020,2,4,10.000,28.000,25.000,25.000,equal,different_1_lt_2,2.000,cp_sat,12345,947182474,7500,300.000,0.700,0.200,42.000,0.500,W2,0.850,uniform,0.020,2,4.000,10.000,28.000,25.000,25.000,equal,different_1_lt_2,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,3.789,1.000,True,7500,4,37,0.952,8.810,"[0.17, 0.17, 0.17, 0.17, 0.17, 0.075, 0.075]",12345.000,947182474.000,1.000,9.15.6755,,22.000,20.000,FEASIBLE,161.550,0.910,0.900,False,1785.714,161.571,55.857,1200.016
D_0099869b11,D_0099869b11_run2,run2,7500,300,0.700,0.200,42,0.500,W2,0.850,uniform,0.020,2,4,10.000,28.000,25.000,25.000,equal,different_1_lt_2,2.000,hexaly,12345,947182474,7500,300.000,0.700,0.200,42.000,0.500,W2,0.850,uniform,0.020,2,4.000,10.000,28.000,25.000,25.000,equal,different_1_lt_2,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,3.789,1.000,True,7500,4,37,0.952,8.810,"[0.17, 0.17, 0.17, 0.17, 0.17, 0.075, 0.075]",,,,,,,,,,,,,,,,
D_00be64f53e,D_00be64f53e_run1,run1,7500,300,0.700,0.200,42,0.500,W2,0.850,increasing-to-friday,0.020,2,2,10.000,28.000,25.000,25.000,equal,equal,2.000,cp_sat,12345,386086982,7500,300.000,0.700,0.200,42.000,0.500,W2,0.850,increasing-to-friday,0.020,2,2.000,10.000,28.000,25.000,25.000,equal,equal,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,2.000,0.559,False,7500,7,33,1.667,7.857,"[0.163, 0.167, 0.17, 0.173, 0.177, 0.075, 0.075]",12345.000,386086982.000,1.000,9.15.6755,,22.000,20.000,FEASIBLE,178.430,0.900,0.900,False,1785.714,178.381,72.667,420.018
D_00be64f53e,D_00be64f53e_run1,run1,7500,300,0.700,0.200,42,0.500,W2,0.850,increasing-to-friday,0.020,2,2,10.000,28.000,25.000,25.000,equal,equal,2.000,hexaly,12345,386086982,7500,300.000,0.700,0.200,42.000,0.500,W2,0.850,increasing-to-friday,0.020,2,2.000,10.000,28.000,25.000,25.000,equal,equal,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,2.000,0.559,False,7500,7,33,1.667,7.857,"[0.163, 0.167, 0.17, 0.173, 0.177, 0.075, 0.075]",,,,,,,,,,,,,,,,
D_00be64f53e,D_00be64f53e_run2,run2,7500,300,0.700,0.200,42,0.500,W2,0.850,increasing-to-friday,0.020,2,2,10.000,28.000,25.000,25.000,equal,equal,2.000,cp_sat,12345,386086982,7500,300.000,0.700,0.200,42.000,0.500,W2,0.850,increasing-to-friday,0.020,2,2.000,10.000,28.000,25.000,25.000,equal,equal,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,2.000,0.559,False,7500,7,33,1.667,7.857,"[0.163, 0.167, 0.17, 0.173, 0.177, 0.075, 0.075]",12345.000,386086982.000,1.000,9.15.6755,,22.000,20.000,FEASIBLE,178.300,0.900,0.900,False,1785.714,178.286,72.571,1200.020
D_00be64f53e,D_00be64f53e_run2,run2,7500,300,0.700,0.200,42,0.500,W2,0.850,increasing-to-friday,0.020,2,2,10.000,28.000,25.000,25.000,equal,equal,2.000,hexaly,12345,386086982,7500,300.000,0.700,0.200,42.000,0.500,W2,0.850,increasing-to-friday,0.020,2,2.000,10.000,28.000,25.000,25.000,equal,equal,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,2.000,0.559,False,7500,7,33,1.667,7.857,"[0.163, 0.167, 0.17, 0.173, 0.177, 0.075, 0.075]",,,,,,,,,,,,,,,,
D_01064d9a02,D_01064d9a02_run1,run1,7500,300,0.700,0.200,42,0.500,W2,0.950,decreasing-to-friday,0.020,2,2,10.000,28.000,16.000,16.000,equal,equal,2.000,cp_sat,12345,729766816,7500,300.000,0.700,0.200,42.000,0.500,W2,0.950,decreasing-to-friday,0.020,2,2.000,10.000,28.000,16.000,16.000,equal,equal,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,2.000,0.446,False,7500,2,36,0.476,8.571,"[0.197, 0.194, 0.19, 0.186, 0.183, 0.025, 0.025]",12345.000,729766816.000,1.000,9.15.6755,,22.000,22.000,OPTIMAL,170.770,0.904,0.900,False,1785.714,170.714,233.000,172.817
D_01064d9a02,D_01064d9a02_run1,run1,7500,300,0.700,0.200,42,0.500,W2,0.950,decreasing-to-friday,0.020,2,2,10.000,28.000,16.000,16.000,equal,equal,2.000,hexaly,12345,729766816,7500,300.000,0.700,0.200,42.000,0.500,W2,0.950,decreasing-to-friday,0.020,2,2.000,10.000,28.000,16.000,16.000,equal,equal,2.000,625.000,892.857,1116.071,26.573,27,892.857,21.259,22,2.000,0.446,False,7500,2,36,0.476,8.571,"[0.197, 0.194, 0.19, 0.186, 0.183, 0.025, 0.025]",,,,,,,,,,,,,,,,
